stars,forks,issues,watchers,age_days,commit_gap,issue_ratio,fork_ratio,activity,label
416735,45200,1102,4580,3658,9,0.0026443599784995776,0.10846195193119865,0.1,0
384656,66065,82,9789,4550,3,0.00021317693425571354,0.17175041660492335,0.25,0
340405,55062,519,6822,3316,7,0.0015246499767924185,0.16175390563033554,0.125,0
289295,27495,19,6096,4290,0,6.567667717493501e-05,0.09504106520657044,1.0,0
219098,50255,902,5960,3541,1,0.004116860414698378,0.22937119749519624,0.5,0
182877,46222,379,1523,1107,0,0.002072419864609193,0.252747733461652,1.0,0
162030,30205,2471,1175,1313,25,0.015250168177694392,0.1864149452882473,0.038461538461538464,0
158493,32642,2294,1193,2706,0,0.014473734021477154,0.20595101391850795,1.0,0
153547,12451,2411,742,1978,5,0.01570193034100086,0.08108864980331883,0.16666666666666666,0
147649,11262,311,4480,3614,0,0.0021063325431764307,0.07627497460209956,1.0,0
146312,8659,926,461,1142,0,0.006328897637257113,0.05918134410476171,1.0,0
139955,10607,4119,2151,5626,36,0.029430678213152706,0.0757881048329475,0.02702702702702703,0
131332,21627,503,819,1257,0,0.0038299589592866987,0.16467300678428118,1.0,0
128967,18239,248,566,902,0,0.001922957632901185,0.14142267849388995,1.0,0
107143,12346,3903,683,1165,0,0.03642761143881132,0.11522810423355484,1.0,0
104486,11519,594,724,186,2,0.005684917740962991,0.11024337955917961,0.3333333333333333,0
103766,15145,5,1101,697,10,4.8184875731205486e-05,0.14595198858982142,0.09090909090909091,0
102411,16607,119,764,456,211,0.0011619732062648908,0.1621587313986642,0.0047169811320754715,0
96739,11931,118,717,1287,0,0.001219764316725243,0.123330576803804,1.0,0
778,264,8,21,1333,1318,0.010269576379974325,0.33889602053915274,0.000758150113722517,1
460,203,13,66,4714,2636,0.028199566160520606,0.4403470715835141,0.0003792188092529389,1
2720,544,33,96,2211,706,0.012127894156560088,0.19992649761117237,0.0014144271570014145,1
1151,335,77,95,3325,1210,0.06684027777777778,0.2907986111111111,0.0008257638315441783,1
493,161,2,29,3534,528,0.004048582995951417,0.3259109311740891,0.001890359168241966,1
441,112,6,24,2813,1431,0.013574660633484163,0.25339366515837103,0.0006983240223463687,1
189,41,1,13,3864,64,0.005263157894736842,0.21578947368421053,0.015384615384615385,1
125,32,2,7,2484,226,0.015873015873015872,0.25396825396825395,0.004405286343612335,1
87,37,0,3,2621,445,0.0,0.42045454545454547,0.002242152466367713,1
107,45,2,12,3816,2327,0.018518518518518517,0.4166666666666667,0.000429553264604811,1
108,32,2,8,2238,2238,0.01834862385321101,0.29357798165137616,0.00044662795891022776,1
56,51,0,1,2195,2190,0.0,0.8947368421052632,0.00045641259698767686,1
3563,706,61,183,3367,812,0.01711560044893378,0.19809203142536475,0.0012300123001230013,1
49,23,0,10,2202,1372,0.0,0.46,0.0007283321194464676,1
55,36,3,3,3805,3231,0.05357142857142857,0.6428571428571429,0.0003094059405940594,1
139,26,0,2,1222,150,0.0,0.18571428571428572,0.006622516556291391,1
45,13,5,1,3272,606,0.10869565217391304,0.2826086956521739,0.0016474464579901153,1
189,74,0,6,3143,499,0.0,0.3894736842105263,0.002,1
26,18,0,5,3056,3055,0.0,0.6666666666666666,0.0003272251308900524,1
